TimeStamp,TestCaseName,Result,Comments,Duration,LogLocation,AIMLogs,Campaign,User,Device,IsSecure,PIN,HWID,GUID,OSVersion,JavaVersion,PCName,EmailAddress,MKS_ID,,,,,,,
11/07/2014 15:27,fts.global_uat.network.static.radio_cycle_lte,Passed,Device camped on network with expected coverage after radio cycle,00:02:19,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,Metadata Value 1:14.5,Metadata Value 2:6.5,Metadata Value 3:8.0,Metadata Name 3:TimeToBBService,Metadata Name 2:TimeToNetworkCoverage,Metadata Name 1:TimeToCoverage
11/07/2014 15:29,fts.global_uat.network.static.power_cycle_lte,Passed,Device camped on network with expected coverage after power cycle,00:05:23,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:34,fts.global_uat.network.static.manual_scan_lte,Passed,Networks found - 23433 23410 23410 23415 23430 23415 23430 23430 23420 23415 23410,00:03:23,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,Metadata Name 1:NetworkScanTime,Metadata Value 1:102.7,,,,
11/07/2014 15:38,fts.global_uat.network.static.data_services_off_lte,Passed,Data services set off successfully,00:03:20,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:41,fts.global_uat.network.static.data_services_roaming_home_network_lte,Failed,Unable to open browser and wait for the URL(http://www.google.com) to load properly.,00:01:32,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:43,fts.global_uat.network.static.mode_3g_only,Passed,Device camped onto a network with UMTS coverage,00:00:33,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:43,fts.global_uat.network.static.mode_3g_only_to_4g_3g,Passed,Browsing successful after switching from mode 3G Only to 4G/3G,00:01:59,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:45,fts.global_uat.network.static.mode_3g_only_to_4g_only,Passed,Browsing successful after switching from 3G Only to 4G only,00:02:10,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:47,fts.global_uat.network.static.mode_4g_3g_to_3g_only,Passed,Browsing successful after switching from 4G/3G to 3G only,00:01:37,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
11/07/2014 15:49,fts.global_uat.network.static.mode_4g_3g_to_4g_only,Passed,Browsing successful after switching from 4G/3G to 4G only,00:02:01,C:\aimplatform2\apps\gtr\log,,Auto C_2 Opti_UAT R135 EEUK LTE b866,kipatel,Windermere-EMEA,,2FFF42FC,2264935434,,10.3.0.866,,CI0000002050750,kipatel@blackberry.com,,,,,,,,
